individual_id,id,latitude,longitude,individual,individual patronym,inscription,start date,end date,Roles
211,Amphipolis (Maced),40.7624,23.8981,Athenion,Bithuos,D037,-38,43,mystes
408,Antioch on the Maeander,37.8647,28.5404,[----]os,Aphrodisiou,D051,,,mystes
407,Antioch on the Maeander,37.8647,28.5404,[----]s,Hieronos,D051,,,mystes
556,Apameia Kibotos/Kelainai,38.0677,30.1816,Straton ,,C054,,,priesthood
556,Apameia Kibotos/Kelainai,38.0677,30.1816,Straton ,,C054,,,Archon
415,Arsinoe/Patara,36.2668,29.3178,[----]s,Aristodamo[u],D051,,,mystes
186,Aspendos,36.9394,31.17021,Euporion,Kuaiou,D031,,,mystes
33,Astypalaia,36.5438,26.355,Bakchyllos,No[- -],D004,1,200,theoros
32,Astypalaia,36.5438,26.355,Xenokrates,Polyklei[- - -],D004,1,200,proxenos
34,Astypalaia,36.5438,26.355,Agathokles,Ari[- - -],D004,1,200,proxenos
34,Astypalaia,36.5438,26.355,Agathokles,Ari[- - -],D004,1,200,theoros
32,Astypalaia,36.5438,26.355,Xenokrates,Polyklei[- - -],D004,1,200,theoros
33,Astypalaia,36.5438,26.355,Bakchyllos,No[- -],D004,1,200,proxenos
176,Athens,37.9717,23.7268,Kornelia,Philotrophon,D030,160,180,mystes
195,Azoros,39.9702,22.1004,Parmenisskos,,D035,-200,-101,mystes
44,Bargylia,37.1942,27.5887,Bryon,Hierokleious,D005,-150,-145,proxenos
44,Bargylia,37.1942,27.5887,Bryon,Hierokleious,D005,-150,-145,theoros
148,Bargylia,37.1942,27.5887,Solon,Habronos,D011,-200,-101,proxenos
148,Bargylia,37.1942,27.5887,Solon,Habronos,D011,-200,-101,theoros
43,Bargylia,37.1942,27.5887,Hierokles,Samiadou,D005,-150,-145,proxenos
43,Bargylia,37.1942,27.5887,Hierokles,Samiadou,D005,-150,-145,theoros
194,Beroia,40.522127,22.201493,Gaius Iturios,Poudes,D034,113,113,mystes
212,Beroia,40.522127,22.201493,Peritas,Menandrou,D037,-38,43,mystes
213,Beroia,40.522127,22.201493,Dionusios,Archepoleos,D037,-38,43,mystes
214,Beroia,40.522127,22.201493,Rouphion,<L>eontos,D037,-38,43,mystes
192,Beroia,40.522127,22.201493,Ti. Klaudios,Eulaios,D034,113,113,mystes
215,Beroia,40.522127,22.201493,Alupos,Leontos,D037,-38,43,mystes
193,Beroia,40.522127,22.201493,Oulpia,Alexandra,D034,113,113,mystes
438,Byzantion,41.0097,28.9732,Antiphilos,Antiphilou,D053,-200,200,
441,Byzantion,41.0097,28.9732,Menemachos,Metrodorou,D053,-200,200,
